UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_normalized,Process temperature [K]_normalized,Rotational speed [rpm]_normalized,Torque [Nm]_normalized,Tool wear [min]_normalized,temp_difference,power_estimate,thermal_stress,Type_H,Type_L,Type_M
1,M14860,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,-0.9523418227202399,-0.9473125185387199,0.06818173099917743,0.2821856456835603,-1.6958989430213862,10.5,6.951806471881871,1.0352230795035222,False,False,True
2,L47181,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,-0.9023482889567985,-0.8799150030617278,-0.7294350306630095,0.633276353727903,-1.6487692561350753,10.5,6.826934757566237,1.0352112676056338,False,True,False
3,L47182,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,-0.9523418227202399,-1.0147100340157502,-0.22743846737911563,0.944242409424321,-1.6173494648775346,10.399999999999977,7.749628233322861,1.0348876216034886,False,True,False
4,L47183,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,-0.9023482889567985,-0.9473125185387199,-0.5899915408619278,-0.048842736186819724,-1.585929673619994,10.400000000000034,5.92768876322128,1.034875922199866,False,True,False
5,L47184,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,-0.9023482889567985,-0.8799150030617278,-0.7294350306630095,0.001313079248086381,-1.5545098823624532,10.5,5.8979997905539845,1.0352112676056338,False,True,False
6,M14865,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,-0.9523418227202399,-0.9473125185387199,-0.634613457598274,0.19190517790072945,-1.5230900911049126,10.5,6.252748978950676,1.0352230795035222,False,False,True
7,L47186,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,-0.9523418227202399,-0.9473125185387199,0.10722590814348029,0.24206099333563555,-1.4759604042186016,10.5,6.917918106608021,1.0352230795035222,False,True,False
8,L47187,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,-0.9523418227202399,-0.9473125185387199,-0.06568401920986093,0.021375405422049108,-1.444540612961061,10.5,6.428463713477851,1.0352230795035222,False,True,False
9,M14868,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,-0.8523547551933286,-0.8799150030617278,0.7151995236761962,-1.1422395126677727,-1.4131208217035203,10.399999999999977,4.99279505707404,1.0348642306402949,False,False,True
10,M14869,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,-0.7523676876664173,-0.6777224566306749,1.1279522534873978,-1.2024264911896603,-1.3659911348172091,10.5,5.105037176667714,1.035175879396985,False,False,True
